run,condition,layer,turn,projection,proj_norm
scenario_09_mb_0_feed_run00,mb_0_feed,32,7,-19.782028198242188,-0.09267234802246094
scenario_09_mb_0_feed_run00,mb_0_feed,32,8,-18.963197708129883,0.7261581420898438
scenario_09_mb_0_feed_run00,mb_0_feed,32,9,-23.450031280517575,-3.760675430297848
scenario_09_mb_0_feed_run00,mb_0_feed,32,10,-20.475027084350582,-0.7856712341308558
scenario_09_mb_0_feed_run00,mb_0_feed,32,11,-20.77207946777344,-1.0827236175537145
scenario_09_mb_0_feed_run00,mb_0_feed,32,12,-20.96601676940918,-1.2766609191894531
scenario_09_mb_0_feed_run00,mb_0_feed,32,13,-22.094018936157227,-2.4046630859375
scenario_09_mb_0_feed_run00,mb_0_feed,32,14,-17.462940216064453,2.2264156341552734
scenario_09_mb_0_feed_run00,mb_0_feed,50,0,14.466196060180664,2.441459465026856
scenario_09_mb_0_feed_run00,mb_0_feed,50,1,10.639817237854004,-1.384919357299804
scenario_09_mb_0_feed_run00,mb_0_feed,50,2,12.47841453552246,0.4536779403686513
scenario_09_mb_0_feed_run00,mb_0_feed,50,3,9.509614944458008,-2.5151216506958
scenario_09_mb_0_feed_run00,mb_0_feed,50,4,13.029640197753906,1.0049036026000984
scenario_09_mb_0_feed_run00,mb_0_feed,50,5,13.951171875,1.9264352798461921
scenario_09_mb_0_feed_run00,mb_0_feed,50,6,12.145000457763672,0.12026386260986399
scenario_09_mb_0_feed_run00,mb_0_feed,50,7,13.28344440460205,1.258707809448243
scenario_09_mb_0_feed_run00,mb_0_feed,50,8,10.652987480163574,-1.3717491149902337
scenario_09_mb_0_feed_run00,mb_0_feed,50,9,2.377727031707764,-9.647009563446044
scenario_09_mb_0_feed_run00,mb_0_feed,50,10,9.935378074645996,-2.089358520507812
scenario_09_mb_0_feed_run00,mb_0_feed,50,11,11.298643112182615,-0.7260934829711925
scenario_09_mb_0_feed_run00,mb_0_feed,50,12,10.276681900024414,-1.7480546951293938
scenario_09_mb_0_feed_run00,mb_0_feed,50,13,6.221856117248535,-5.802880477905273
scenario_09_mb_0_feed_run00,mb_0_feed,50,14,15.917963981628418,3.89322738647461
scenario_09_mb_0_feed_run01,mb_0_feed,32,0,-19.71622467041016,-0.7878833770752003
scenario_09_mb_0_feed_run01,mb_0_feed,32,1,-19.782028198242188,-0.853686904907228
scenario_09_mb_0_feed_run01,mb_0_feed,32,2,-18.582035064697266,0.3463062286376939
scenario_09_mb_0_feed_run01,mb_0_feed,32,3,-18.418535232543945,0.5098060607910142
scenario_09_mb_0_feed_run01,mb_0_feed,32,4,-18.14288330078125,0.7854579925537095
scenario_09_mb_0_feed_run01,mb_0_feed,32,5,-17.462940216064453,1.4654010772705064
scenario_09_mb_0_feed_run01,mb_0_feed,32,6,-23.450031280517575,-4.521689987182615
scenario_09_mb_0_feed_run01,mb_0_feed,32,7,-20.96601676940918,-2.03767547607422
scenario_09_mb_0_feed_run01,mb_0_feed,32,8,-20.77207946777344,-1.8437381744384815
scenario_09_mb_0_feed_run01,mb_0_feed,32,9,-21.14902687072754,-2.2206855773925795
scenario_09_mb_0_feed_run01,mb_0_feed,32,10,-14.087953567504885,4.840387725830075
scenario_09_mb_0_feed_run01,mb_0_feed,32,11,-18.963197708129883,-0.034856414794923296
scenario_09_mb_0_feed_run01,mb_0_feed,32,12,-20.475027084350582,-1.5466857910156229
scenario_09_mb_0_feed_run01,mb_0_feed,32,13,-22.094018936157227,-3.165677642822267
scenario_09_mb_0_feed_run01,mb_0_feed,32,14,-20.856609344482425,-1.928268051147466
scenario_09_mb_0_feed_run01,mb_0_feed,50,0,12.47841453552246,-0.602124595642092
scenario_09_mb_0_feed_run01,mb_0_feed,50,1,13.28344440460205,0.20290527343749964
scenario_09_mb_0_feed_run01,mb_0_feed,50,2,14.466196060180664,1.385656929016113
scenario_09_mb_0_feed_run01,mb_0_feed,50,3,12.145000457763672,-0.9355386734008793
scenario_09_mb_0_feed_run01,mb_0_feed,50,4,13.029640197753906,-0.050898933410644887
scenario_09_mb_0_feed_run01,mb_0_feed,50,5,15.917963981628418,2.837424850463867
scenario_09_mb_0_feed_run01,mb_0_feed,50,6,2.377727031707764,-10.702812099456787
scenario_09_mb_0_feed_run01,mb_0_feed,50,7,10.276681900024414,-2.803857231140137
scenario_09_mb_0_feed_run01,mb_0_feed,50,8,11.298643112182615,-1.7818960189819357
scenario_09_mb_0_feed_run01,mb_0_feed,50,9,10.639817237854004,-2.4407218933105472
scenario_09_mb_0_feed_run01,mb_0_feed,50,10,13.951171875,0.8706327438354489
scenario_09_mb_0_feed_run01,mb_0_feed,50,11,10.652987480163574,-2.427551651000977
scenario_09_mb_0_feed_run01,mb_0_feed,50,12,9.935378074645996,-3.145161056518555
scenario_09_mb_0_feed_run01,mb_0_feed,50,13,6.221856117248535,-6.858683013916016
scenario_09_mb_0_feed_run01,mb_0_feed,50,14,9.509614944458008,-3.5709241867065433
scenario_09_mb_0_feed_run02,mb_0_feed,32,0,-17.462940216064453,1.317453384399414
scenario_09_mb_0_feed_run02,mb_0_feed,32,1,-14.087953567504885,4.692440032958983
scenario_09_mb_0_feed_run02,mb_0_feed,32,2,-22.094018936157227,-3.3136253356933594
scenario_09_mb_0_feed_run02,mb_0_feed,32,3,-19.782028198242188,-1.0016345977783203
scenario_09_mb_0_feed_run02,mb_0_feed,32,4,-20.475027084350582,-1.6946334838867152
scenario_09_mb_0_feed_run02,mb_0_feed,32,5,-20.77207946777344,-1.9916858673095739
scenario_09_mb_0_feed_run02,mb_0_feed,32,6,-20.856609344482425,-2.0762157440185582
scenario_09_mb_0_feed_run02,mb_0_feed,32,7,-18.14288330078125,0.6375102996826172
scenario_09_mb_0_feed_run02,mb_0_feed,32,8,-18.582035064697266,0.19835853576660156
scenario_09_mb_0_feed_run02,mb_0_feed,32,9,-18.963197708129883,-0.18280410766601562
scenario_09_mb_0_feed_run02,mb_0_feed,32,10,-23.450031280517575,-4.669637680053707
scenario_09_mb_0_feed_run02,mb_0_feed,32,11,-21.14902687072754,-2.368633270263672
scenario_09_mb_0_feed_run02,mb_0_feed,32,12,-19.71622467041016,-0.9358310699462926
scenario_09_mb_0_feed_run02,mb_0_feed,32,13,-18.418535232543945,0.3618583679199219
scenario_09_mb_0_feed_run02,mb_0_feed,32,14,-20.96601676940918,-2.1856231689453125
scenario_09_mb_0_feed_run02,mb_0_feed,50,0,15.917963981628418,4.056001091003418
scenario_09_mb_0_feed_run02,mb_0_feed,50,1,13.951171875,2.0892089843750004
scenario_09_mb_0_feed_run02,mb_0_feed,50,2,6.221856117248535,-5.6401067733764645
scenario_09_mb_0_feed_run02,mb_0_feed,50,3,13.28344440460205,1.4214815139770511
scenario_09_mb_0_feed_run02,mb_0_feed,50,4,9.935378074645996,-1.9265848159790036
scenario_09_mb_0_feed_run02,mb_0_feed,50,5,11.298643112182615,-0.5633197784423842
scenario_09_mb_0_feed_run02,mb_0_feed,50,6,9.509614944458008,-2.352347946166992
scenario_09_mb_0_feed_run02,mb_0_feed,50,7,13.029640197753906,1.1676773071289066
scenario_09_mb_0_feed_run02,mb_0_feed,50,8,14.466196060180664,2.6042331695556644
scenario_09_mb_0_feed_run02,mb_0_feed,50,9,10.652987480163574,-1.2089754104614254
scenario_09_mb_0_feed_run02,mb_0_feed,50,10,2.377727031707764,-9.484235858917236
scenario_09_mb_0_feed_run02,mb_0_feed,50,11,10.639817237854004,-1.2221456527709957
scenario_09_mb_0_feed_run02,mb_0_feed,50,12,12.47841453552246,0.6164516448974595
scenario_09_mb_0_feed_run02,mb_0_feed,50,13,12.145000457763672,0.28303756713867223
scenario_09_mb_0_feed_run02,mb_0_feed,50,14,10.276681900024414,-1.5852809906005856
scenario_09_mb_0_feed_run03,mb_0_feed,32,0,-19.71622467041016,-1.379756927490238
scenario_09_mb_0_feed_run03,mb_0_feed,32,1,-20.77207946777344,-2.435611724853519
scenario_09_mb_0_feed_run03,mb_0_feed,32,2,-18.14288330078125,0.19358444213867188
scenario_09_mb_0_feed_run03,mb_0_feed,32,3,-14.087953567504885,4.248514175415037
scenario_09_mb_0_feed_run03,mb_0_feed,32,4,-18.963197708129883,-0.6267299652099609
scenario_09_mb_0_feed_run03,mb_0_feed,32,5,-18.418535232543945,-0.08206748962402344
scenario_09_mb_0_feed_run03,mb_0_feed,32,6,-23.450031280517575,-5.113563537597653
scenario_09_mb_0_feed_run03,mb_0_feed,32,7,-21.14902687072754,-2.812559127807617
scenario_09_mb_0_feed_run03,mb_0_feed,32,8,-20.475027084350582,-2.1385593414306605
scenario_09_mb_0_feed_run03,mb_0_feed,32,9,-22.094018936157227,-3.7575511932373047
scenario_09_mb_0_feed_run03,mb_0_feed,32,10,-20.96601676940918,-2.629549026489258
scenario_09_mb_0_feed_run03,mb_0_feed,32,11,-17.462940216064453,0.8735275268554688
scenario_09_mb_0_feed_run03,mb_0_feed,32,12,-20.856609344482425,-2.5201416015625036
scenario_09_mb_0_feed_run03,mb_0_feed,32,13,-18.582035064697266,-0.24556732177734375
scenario_09_mb_0_feed_run03,mb_0_feed,32,14,-19.782028198242188,-1.4455604553222656
scenario_09_mb_0_feed_run03,mb_0_feed,50,0,12.47841453552246,0.19624309539794815
scenario_09_mb_0_feed_run03,mb_0_feed,50,1,11.298643112182615,-0.9835283279418956
scenario_09_mb_0_feed_run03,mb_0_feed,50,2,13.029640197753906,0.7474687576293952
scenario_09_mb_0_feed_run03,mb_0_feed,50,3,13.951171875,1.669000434875489
scenario_09_mb_0_feed_run03,mb_0_feed,50,4,10.652987480163574,-1.6291839599609368
scenario_09_mb_0_feed_run03,mb_0_feed,50,5,12.145000457763672,-0.13717098236083913
scenario_09_mb_0_feed_run03,mb_0_feed,50,6,2.377727031707764,-9.904444408416747
scenario_09_mb_0_feed_run03,mb_0_feed,50,7,10.639817237854004,-1.642354202270507
scenario_09_mb_0_feed_run03,mb_0_feed,50,8,9.935378074645996,-2.346793365478515
scenario_09_mb_0_feed_run03,mb_0_feed,50,9,6.221856117248535,-6.060315322875976
scenario_09_mb_0_feed_run03,mb_0_feed,50,10,10.276681900024414,-2.005489540100097
scenario_09_mb_0_feed_run03,mb_0_feed,50,11,15.917963981628418,3.635792541503907
scenario_09_mb_0_feed_run03,mb_0_feed,50,12,9.509614944458008,-2.772556495666503
scenario_09_mb_0_feed_run03,mb_0_feed,50,13,14.466196060180664,2.184024620056153
scenario_09_mb_0_feed_run03,mb_0_feed,50,14,13.28344440460205,1.0012729644775398
scenario_09_mb_0_feed_run04,mb_0_feed,32,0,-14.087953567504885,5.10275535583496
scenario_09_mb_0_feed_run04,mb_0_feed,32,1,-20.77207946777344,-1.5813705444335966
scenario_09_mb_0_feed_run04,mb_0_feed,32,2,-18.14288330078125,1.0478256225585945
scenario_09_mb_0_feed_run04,mb_0_feed,32,3,-20.856609344482425,-1.665900421142581
scenario_09_mb_0_feed_run04,mb_0_feed,32,4,-22.094018936157227,-2.903310012817382
scenario_09_mb_0_feed_run04,mb_0_feed,32,5,-18.963197708129883,0.22751121520996165
scenario_09_mb_0_feed_run04,mb_0_feed,32,6,-21.14902687072754,-1.9583179473876946
scenario_09_mb_0_feed_run04,mb_0_feed,32,7,-17.462940216064453,1.7277687072753913
scenario_09_mb_0_feed_run04,mb_0_feed,32,8,-18.582035064697266,0.6086738586425788
scenario_09_mb_0_feed_run04,mb_0_feed,32,9,-19.71622467041016,-0.5255157470703153
scenario_09_mb_0_feed_run04,mb_0_feed,32,10,-20.475027084350582,-1.284318161010738
scenario_09_mb_0_feed_run04,mb_0_feed,32,11,-23.450031280517575,-4.25932235717773
scenario_09_mb_0_feed_run04,mb_0_feed,32,12,-19.782028198242188,-0.591319274902343
scenario_09_mb_0_feed_run04,mb_0_feed,32,13,-20.96601676940918,-1.7753078460693352
scenario_09_mb_0_feed_run04,mb_0_feed,32,14,-18.418535232543945,0.7721736907958991
scenario_09_mb_0_feed_run04,mb_0_feed,50,0,13.951171875,3.1489866256713874
scenario_09_mb_0_feed_run04,mb_0_feed,50,1,11.298643112182615,0.49645786285400284
scenario_09_mb_0_feed_run04,mb_0_feed,50,2,13.029640197753906,2.2274549484252937
scenario_09_mb_0_feed_run04,mb_0_feed,50,3,9.509614944458008,-1.2925703048706048
scenario_09_mb_0_feed_run04,mb_0_feed,50,4,6.221856117248535,-4.580329132080077
scenario_09_mb_0_feed_run04,mb_0_feed,50,5,10.652987480163574,-0.14919776916503835
scenario_09_mb_0_feed_run04,mb_0_feed,50,6,10.639817237854004,-0.16236801147460866
scenario_09_mb_0_feed_run04,mb_0_feed,50,7,15.917963981628418,5.115778732299805
scenario_09_mb_0_feed_run04,mb_0_feed,50,8,14.466196060180664,3.6640108108520515
scenario_09_mb_0_feed_run04,mb_0_feed,50,9,12.47841453552246,1.6762292861938466
scenario_09_mb_0_feed_run04,mb_0_feed,50,10,9.935378074645996,-0.8668071746826165
scenario_09_mb_0_feed_run04,mb_0_feed,50,11,2.377727031707764,-8.424458217620849
scenario_09_mb_0_feed_run04,mb_0_feed,50,12,13.28344440460205,2.481259155273438
scenario_09_mb_0_feed_run04,mb_0_feed,50,13,10.276681900024414,-0.5255033493041985
scenario_09_mb_0_feed_run04,mb_0_feed,50,14,12.145000457763672,1.3428152084350593
scenario_09_mb_1_feed_run00,mb_1_feed,32,0,-22.31171417236328,-2.153094863891603
scenario_09_mb_1_feed_run00,mb_1_feed,32,1,-19.193735122680664,0.9648841857910142
scenario_09_mb_1_feed_run00,mb_1_feed,32,2,-17.56648826599121,2.5921310424804673
scenario_09_mb_1_feed_run00,mb_1_feed,32,3,-22.16355323791504,-2.004933929443361
scenario_09_mb_1_feed_run00,mb_1_feed,32,4,-19.557605743408203,0.6010135650634751
scenario_09_mb_1_feed_run00,mb_1_feed,32,5,-19.829465866088867,0.3291534423828111
scenario_09_mb_1_feed_run00,mb_1_feed,32,6,-19.90511512756348,0.25350418090819815
scenario_09_mb_1_feed_run00,mb_1_feed,32,7,-19.87870407104492,0.27991523742675994
scenario_09_mb_1_feed_run00,mb_1_feed,32,8,-19.33879280090332,0.819826507568358
scenario_09_mb_1_feed_run00,mb_1_feed,32,9,-17.899738311767578,2.2588809967041
scenario_09_mb_1_feed_run00,mb_1_feed,32,10,-19.817359924316406,0.341259384155272
